tubeID,lastStation,leftStation,nextStation,nextStationDistance
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Thymio,617.0727749676547

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,610.1833761439452

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,564.2135297823746

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,542.5922154370606

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,498.4470649131422

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,437.5217807532232

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,414.4661979668454

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,379.1648013468067

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Thymio,True,Deckelentnahme,335.91122143095697

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Deckelentnahme,False,Deckelentnahme,335.91122143095697

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Deckelentnahme,False,Deckelentnahme,335.91122143095697

5,Deckelentnahme,True,Thymio,0.0
2,Deckelentnahme,True,Thymio,0.0
4,Deckelentnahme,True,Thymio,0.0
3,Deckelentnahme,False,Deckelentnahme,335.91122143095697

5,Deckelentnahme,True,Thymio,0.0
